epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.474,1.71743,7.66337,1.61403,0,0,0,0,1.63651,8.04501,1.57444,3.97633e-06,3.97633e-06,3.97633e-06
2,1003.88,1.40588,7.45961,1.40014,0,0,0,0,1.25196,7.67927,1.29202,7.5815e-06,7.5815e-06,7.5815e-06
3,1510.67,1.26554,7.37565,1.26802,0,0,0,0,1.06224,7.50157,1.13056,1.07907e-05,1.07907e-05,1.07907e-05
4,2044.25,1.10194,7.14247,1.15081,0,0,0,0,0.98032,7.39279,1.05586,1.0218e-05,1.0218e-05,1.0218e-05
5,2656.83,1.09947,7.11441,1.11424,0.00013,0.00166,0.00016,0.00015,0.95798,7.31597,1.02222,9.624e-06,9.624e-06,9.624e-06
6,3637.52,1.05667,7.03346,1.07377,0.00039,0.00331,0.00094,0.00075,0.92356,7.26287,0.99744,9.03e-06,9.03e-06,9.03e-06
7,4203.86,1.02327,6.94966,1.05008,0.00053,0.00662,0.00222,0.00181,0.89802,7.21125,0.9881,8.436e-06,8.436e-06,8.436e-06
8,4716.62,1.02616,6.98154,1.04589,0.00043,0.01159,0.00254,0.00228,0.88904,7.1784,0.9774,7.842e-06,7.842e-06,7.842e-06
9,5233.5,1.01902,6.84703,1.05172,0.00113,0.01738,0.0038,0.003,0.87648,7.13272,0.97119,7.248e-06,7.248e-06,7.248e-06
10,5719.54,1.0181,6.91535,1.04936,0.00115,0.02566,0.00314,0.00217,0.86541,7.10857,0.97456,6.654e-06,6.654e-06,6.654e-06
11,6210.6,0.95092,7.10358,1.01361,0.00145,0.05146,0.00288,0.00233,0.87225,7.11429,0.97694,6.06e-06,6.06e-06,6.06e-06
12,6699.53,0.95188,7.05275,1.0084,0.00195,0.06443,0.00457,0.00397,0.86701,7.09706,0.97653,5.466e-06,5.466e-06,5.466e-06
13,7209.67,0.94016,7.05545,1.01234,0.00286,0.06733,0.00482,0.00412,0.85846,7.07067,0.97497,4.872e-06,4.872e-06,4.872e-06
14,7718.26,0.92862,7.02769,1.00915,0.00177,0.07147,0.00512,0.00456,0.85614,7.05968,0.97709,4.278e-06,4.278e-06,4.278e-06
15,8202.19,0.92383,6.9856,1.00673,0.00547,0.08223,0.00908,0.00775,0.8548,7.04947,0.97554,3.684e-06,3.684e-06,3.684e-06
16,8701.19,0.93415,6.99047,1.016,0.00504,0.0923,0.00932,0.00804,0.85322,7.03886,0.97434,3.09e-06,3.09e-06,3.09e-06
17,9581.43,0.92061,6.96728,1.00267,0.00443,0.0981,0.00977,0.00859,0.85117,7.03496,0.97532,2.496e-06,2.496e-06,2.496e-06
18,10458.2,0.91983,6.97057,1.00505,0.00479,0.09147,0.00931,0.00816,0.85148,7.02048,0.97325,1.902e-06,1.902e-06,1.902e-06
19,11084.3,0.92675,6.95673,0.99904,0.00506,0.09699,0.01118,0.01004,0.85204,7.01893,0.97493,1.308e-06,1.308e-06,1.308e-06
20,11896.9,0.91921,6.94498,1.01757,0.00593,0.09975,0.01084,0.0095,0.85354,7.01625,0.9777,7.14e-07,7.14e-07,7.14e-07
